company,linkedin_url,time cost,msg,success
Copa Airlines,https://www.linkedin.com/company/copa-airlines,3511,,true
"Konica Minolta Business Solutions U.S.A., Inc",https://www.linkedin.com/company/konica-minolta-business-solutions-u-s-a--inc-,3518,,true
2NDGEAR,https://www.linkedin.com/company/2ndgear,3526,,true
Beyond Measure Marketing,,3533,no available result,false
MCI Corporation,https://www.linkedin.com/company/mci-corporation,3540,,true
Cira Apps Ltd,https://www.linkedin.com/company/cira-apps-limited,3548,,true
Philips Healthcare,,3556,no available result,false
Illinois Power Company,https://www.linkedin.com/company/illinois-power-company,3566,,true
Bell Laboratories,https://www.linkedin.com/company/bell-laboratories-inc-,3574,,true
"US Department of Commerce, Census Bureau",https://www.linkedin.com/company/u-s-department-of-commerce,3582,,true
Civilian Federal Agencies,,3595,no available result,false
Technology Solutions,https://www.linkedin.com/pub/dir/technology/solutions,3612,,true
"ATTO Technology, Inc",,3625,no available result,false
Alorica,,3640,no available result,false
